character,n_words,x,y
Tyrion Lannister,25924,0.3540924,-4.297993
Cersei Lannister,14294,0.28005016,-4.055722
Jon Snow,11488,0.498793,-3.883101
Daenerys Targaryen,11202,-0.21860522,-3.6529803
Jaime Lannister,10823,0.33391327,-3.8543384
Sansa Stark,8119,0.26377591,-3.5095248
Petyr Baelish,7940,-0.29410574,-3.2468207
Lord Varys,7012,-0.39136377,-3.1204984
Davos Seaworth,6241,-0.2773469,-2.8582492
Samwell Tarly,6192,0.88859355,-2.530442
Arya Stark,5717,0.9280462,-2.9739907
Tywin Lannister,5595,-1.0326645,-2.2415404
Theon Greyjoy,4910,0.41843864,-2.556057
Jorah Mormont,4384,-1.7171351,-1.6850514
Bronn,4336,1.5905555,-2.2393816
Olenna Tyrell,3743,-0.9512083,-0.66593564
Brienne of Tarth,3671,-0.3533942,-1.4535547
Sandor Clegane,3608,1.6668899,-2.17857
Robb Stark,3600,0.047567178,-2.2576902
Stannis Baratheon,3326,-0.47192958,-2.0959623
Margaery Tyrell,3283,-1.3371726,-0.48326856
Catelyn Stark,3199,-0.046124507,-1.8786029
Eddard Stark,3162,-0.7804251,-1.9252007
Ramsay Snow,3119,0.68928987,-1.2574247
Melisandre,3110,0.32822362,-0.3012776
